id,name,type,state,total_shootings
3166,Santa Fe County Sheriff's Office,sheriff,NM,3
742,Santa Fe Police Department,local_police,NM,8
563,Santa Maria Police Department,local_police,CA,5
2603,Santa Monica Police Department,local_police,CA,1
1712,Santa Paula Police Department,local_police,CA,1
121,Santa Rosa County Sheriff's Office,sheriff,FL,3
2966,Santa Rosa Police Department,local_police,CA,1
2725,Sapulpa Police Department,local_police,OK,1
1585,Saraland Police Department,local_police,AL,1
3503,Saranac Lake Village Police Department,local_police,NY,1
2649,Sarasota County Sheriff's Office,sheriff,FL,6
3021,Sarasota Police Department,local_police,FL,1
619,Saratoga County Sheriff's Department,sheriff,NY,2
23487,Saratoga Springs Police Department,local_police,UT,2
23491,Sardis City Police Department,local_police,AL,1
2293,Satsuma Police Department,local_police,AL,1
3197,Saugus Police Department,local_police,MA,1
887,Savannah Chatham Metropolitan Police Department,local_police,GA,7
3179,Savannah Police Department,local_police,GA,6
1306,Schenectady Police Department,local_police,NY,2
1962,Scott County Sheriff's Department,sheriff,IA,1
2111,Scott County Sheriff's Department,sheriff,KY,3
2479,Scott County Sheriff's Department,sheriff,VA,2
3205,Scott County Sheriff's Office,sheriff,MS,1
3127,Scottsbluff Police Department,local_police,NE,1
510,Scottsdale Police Department,local_police,AZ,8
1565,Scott Township Police (Columbia Co.),local_police,PA,1
3018,Scurry County Sheriff's Office,sheriff,TX,1
946,Seagoville Police Department,local_police,TX,1
23651,Seal Beach Police Department,local_police,CA,1
2142,Searcy County Sheriff's Department,sheriff,AR,1
859,Seaside Police Department,local_police,CA,2
1088,Seaside Police Department,local_police,OR,2
651,Seattle Police Department,local_police,WA,20
2205,Sebastian County Sheriff's Office,sheriff,AR,1
3502,Sebastian Police Department,local_police,FL,1
3047,Sebeka Police Department,local_police,MN,2
2641,Secaucus Police Department,local_police,NJ,1
3467,Sedalia Police Department,local_police,MO,2
1431,Sedgwick County Sheriff's Office,sheriff,KS,8
2690,Sedona Police Department,local_police,AZ,1
3392,Sedro-Woolley Police Department,local_police,WA,1
3276,Seekonk Police Department,local_police,MA,1
1238,Seguin Police Department,local_police,TX,2
23698,Selah Police Department,local_police,WA,1
1364,Selma Police Department,local_police,AL,1
1769,Selma Police Department,local_police,CA,1
23711,Selmer Police Department,local_police,TN,1
2766,Seminole County Sheriff's Office,sheriff,FL,2
3606,Senatobia Police Department,local_police,MS,1
678,Seneca Police Department,local_police,SC,1
23734,Septa Transit Police,local_other,PA,1
1767,Sequoyah County Sheriff's Department,sheriff,OK,3
1033,Sevier County Sheriff's Office,sheriff,TN,3
2989,Sevierville Police Department,local_police,TN,2
23757,Seward County Sheriff's Office,sheriff,NE,1
1900,Seward Police Department,local_police,AK,1
2932,Seymour Police Department,local_police,IN,1
230,Shafter Police Department,local_police,CA,1
2334,Shakopee Police Department,local_police,MN,1
2547,Shaler Township Police,local_police,PA,1
3258,Sharon Hill Police Department,local_police,PA,1
1603,Sharon Police Department,local_police,PA,1
808,Shasta County Sheriff's Department,sheriff,CA,5
3634,Shawano Police Department,local_police,WI,1
1156,Shawnee County Sheriff's Office,sheriff,KS,3
23823,Shawnee Police Department,local_police,KS,1
23825,Shawnee Police Department,local_police,OK,1
1373,Sheboygan Police Department,local_police,WI,2
832,Sheffield Police Department,local_police,AL,1
1327,Shelby County Sheriff's Department,sheriff,AL,3
1548,Shelby County Sheriff's Department,sheriff,KY,1
802,Shelby County Sheriff's Office,sheriff,IN,2
1446,Shelby County Sheriff's Office,sheriff,TN,15
2093,Shelby County Sheriff's Office,sheriff,TX,1
1670,Shelby Police Department,local_police,NC,2
23854,Shelby Police Department,local_police,OH,1
2350,Shelby Township Police Department,local_police,MI,2
801,Shelbyville Police Department,local_police,IN,1
1921,Shelbyville Police Department,local_police,KY,1
1419,Shelbyville Police Department,local_police,TN,1
3373,Shelley Police Department,local_police,ID,1
23873,Shenandoah Borough Police Department,local_police,PA,1
3524,Shenandoah County Sheriff's Office,sheriff,VA,1
2457,Sheridan County Sheriff's Deputy,sheriff,NE,1
2746,Sherman Police Department,local_police,TX,3
2029,Sherwood Police Department,local_police,OR,1
23924,Shiawassee County Sheriff's Office,sheriff,MI,1
3404,Shorewood Police Department,local_police,IL,1
772,Shreveport Police Department,local_police,LA,14
269,Sidney Police Department,local_police,NE,1
23990,Sidney Police Department,local_police,OH,1
871,Sierra County Sheriff's Office,sheriff,NM,1
834,Sierra Vista Police Department,local_police,AZ,1
3220,Signal Hill Police Department,local_police,CA,1
24001,Sikeston Police Department,local_police,MO,1
2192,Silsbee Police Department,local_police,TX,1
24026,Silverthorne Police Department,local_police,CO,1
2731,Silverton Police Department,local_police,OR,1
3444,Simi Valley Police Department,local_police,CA,1
2504,Simpson County Sheriff's Department,sheriff,MS,2
24033,Simpson County Sheriff's Office,sheriff,KY,1
1556,Sioux City Police Department,local_police,IA,3
2288,Sioux Falls Police Department,local_police,SD,6
646,Siskiyou County Sheriff's Department,sheriff,CA,5
905,Skiatook Police Department,local_police,OK,1
24076,Skyline Police Department,local_police,AL,1
3013,Slidell Police Department,local_police,LA,1
2656,Smith County Sheriff's Department,sheriff,TN,1
784,Smith County Sheriff's Office,sheriff,TX,3
24110,Smith Township Police Department,local_police,PA,1
2840,Smithville Police Department,local_police,TN,1
794,Smyrna Police Department,local_police,DE,1
426,Smyrna Police Department,local_police,GA,4
2514,Smyrna Police Department,local_police,TN,1
24132,Smyth County Sheriff's Office,sheriff,VA,1
1280,Sneads Police Department,local_police,FL,2
2824,Snellville Police Department,local_police,GA,1
522,Snohomish County Sheriff's Office,sheriff,WA,9
3275,Snoqualmie Police Department,local_police,WA,1
2399,Snyder Police Department,local_police,TX,2
2251,Social Circle Police Department,local_police,GA,1
2845,Socorro Police Department,local_police,TX,1
3228,Soda Springs Police Department,local_police,ID,1
2578,Soddy Daisy Police Department,local_police,TN,2
3493,Solano County Sheriff's Office,sheriff,CA,2
3429,Somerset County Sheriff's Office,sheriff,MD,1
1802,Somerset County Sheriff's Office,sheriff,ME,1
24183,Somerset Police Department,local_police,KY,1
1776,Somerville Police Department,local_police,TN,1
404,Sonoma County Sheriff's Department,sheriff,CA,2
1818,Southaven Police Department,local_police,MS,1
24224,South Beloit Police Department,local_police,IL,1
2141,South Bend Police Department,local_police,IN,5
2128,South Carolina Highway Patrol,state_police,SC,3
536,South Carolina Law Enforcement Division,state_police,SC,2
2131,South Charleston Police Department,local_police,WV,1
1727,South Dakota Highway Patrol,state_police,SD,2
2233,South Elgin Police Department,local_police,IL,1
24434,Southfield Police Department,local_police,MI,1
494,South Gate Police Department,local_police,CA,6
3309,South Hill Police Department,local_police,VA,1
3370,South Jordan Police Department,local_police,UT,2
3600,Southlake Police Department,local_police,TX,1
584,South Lake Tahoe Police Department,local_police,CA,2
689,South Londonderry Township Police Department,local_police,PA,1
2916,South Milwaukee Police Department,local_police,WI,1
2670,South Ogden Police Department,local_police,UT,2
2369,Southold Police Department,local_police,NY,1
1793,South Pasadena Police Department,local_police,CA,2
24380,South Portland Police Department,local_police,ME,1
2218,South Salt Lake Police Department,local_police,UT,3
1752,South San Francisco Police Department,local_police,CA,2
2480,South Sioux City Police Department,local_police,NE,1
1577,South Tucson Police Department,local_police,AZ,1
2254,South Whitehall Township Police Department,local_police,PA,1
1896,Spalding County Sheriff's Office,sheriff,GA,3
753,Spanish Fork Police Department,local_police,UT,1
3182,Spanish Fort Police Department,local_police,AL,1
1163,Sparks Police,local_police,NV,14
163,Spartanburg County Sheriff's Department,sheriff,SC,13
909,Spartanburg Methodist College Police Department,local_other,SC,2
220,Spartanburg Police Department,local_police,SC,2
2621,Sparta Police Department,local_police,WI,1
3311,Speedway Police Department,local_police,IN,1
1816,Spencer Police Department,local_police,MA,1
24515,Spirit Lake Police Department,local_police,ID,1
24516,Spiro Police Department,local_police,OK,1
2264,Spokane County Sheriff's Department,sheriff,WA,13
708,Spokane Police Department,local_police,WA,22
2558,Spokane Valley Police Department,local_police,WA,1
2094,Spotsylvania County Sheriff's Department,sheriff,VA,2
24532,Spring Branch Independent School District Police Department,local_other,TX,1
1477,Springdale Police Department,local_police,AR,4
3272,Springfield-Greene County Park Rangers,local_other,MO,1
2387,Springfield Police Department,local_police,FL,2
2967,Springfield Police Department,local_police,IL,2
3347,Springfield Police Department,local_police,MA,3
350,Springfield Police Department,local_police,MO,14
1813,Springfield Police Department,local_police,OR,4
24585,Springfield Police Department,local_police,TN,1
3590,Springfield Township Police Department,local_police,OH,1
1592,Springfield Township Police (Hamilton Co.),local_police,OH,1
24537,Spring Garden Township Police Department,local_police,PA,2
1591,Spring Hill Police Department,local_police,TN,1
3486,Springville Police Department,local_police,UT,2
2896,Spruce Pine Police Department,local_police,NC,1
1387,Stafford County Sheriff's Department,sheriff,VA,3
24607,St. Albans Saint Albans Police Department,local_police,WV,1
1566,Stamford Police Department,local_police,CT,1
1672,Stanislaus County Sheriff's Department,sheriff,CA,8
1292,Stanislaus Drug Enforcement Agency,local_other,CA,1
1359,St. Anthony Police Department,local_police,MN,1
1584,Starke County Sheriff's Department,sheriff,IN,1
3489,Star Police Department,local_police,IA,1
28841,Star Police Department,local_police,ID,1
3191,State Bureau of Investigations Drug Enforcement Task Force,state_other,AL,1
2433,State College Police Department,local_police,PA,1
2939,St. Augustine Police Department,local_police,FL,2
786,St. Bernard Parish Sheriff's Department,sheriff,LA,1
2883,St. Charles County Sheriff's Department,sheriff,MO,4
24620,St. Charles Parish Sheriff's Office,sheriff,LA,1
24622,St. Charles Police Department,local_police,IL,1
3637,St. Charles Police Department,local_police,MO,3
3009,St. Clair County Sheriff's Office,sheriff,AL,4
24626,St. Clair County Sheriff's Office,sheriff,IL,1
24631,St. Clair Police Department,local_police,MO,1
2329,St. Clair Shores Police Department,local_police,MI,1
2808,St. Cloud Police Department,local_police,FL,1
2908,St. Cloud Police Department,local_police,MN,1
24636,St. Croix County Sheriff's Office,sheriff,WI,1
2876,St. Croix Falls Police Department,local_police,WI,1
1117,Steilacoom Police Department,local_police,WA,1
3335,Stephenson County Sheriff's Office,sheriff,IL,1
2823,Sterling Police Department,local_police,CO,2
24882,Steuben County Sheriff's Office,sheriff,NY,1
729,Stevens County Sheriff,sheriff,WA,2
1501,Stevens County Sheriff's Department,sheriff,MN,1
3462,Stewart County Sheriff's Office,sheriff,TN,1
24649,St. Francois County Sheriff's Office,sheriff,MO,1
2077,St. George Police Department,local_police,KS,1
3364,St. George Police Department,local_police,UT,2
2647,St. Helena Parish Sheriff's Office,sheriff,LA,1
2338,Stillwater Police Department,local_police,MN,2
164,Stillwater Police Department,local_police,OK,2
2056,St. James Police Department,local_police,MN,1
2959,St. John Police Department,local_police,IN,1
468,St. John's County Sheriff's Office,sheriff,FL,5
3480,St. Johns County Sheriff's Office,sheriff,FL,3
2950,St. Joseph County (PD) Sheriff's Department,sheriff,IN,2
1663,St. Joseph Police Department,local_police,MO,3
24676,St. Joseph Township Police Department,local_police,MI,1
1037,St. Landry Parish Sheriff's Department,sheriff,LA,1
268,St. Louis County Police Department,local_police,MO,16
2974,St. Louis County Sheriff's Office,sheriff,MN,3
24693,St. Louis Metro Police Department,local_police,MO,1
2386,St. Louis Park Police Department,local_other,MN,1
134,St. Louis Police Department,local_police,MO,33
6,St. Lucie County Sheriff's Office,sheriff,FL,4
987,St. Martin Parish Sheriff's Department,sheriff,LA,2
1008,St. Mary's Parish Sheriff's Department,sheriff,LA,2
168,Stockton Police Department,local_police,CA,17
1704,Stockton Police Department,local_police,IL,1
676,Stokes County Sheriff's Department,sheriff,NC,1
945,Stone County Sheriff's Department,sheriff,MO,1
2529,Stone County Sheriff's Office,sheriff,AR,1
